"region";"comuna";"cut_region";"cut_comuna"
"ANTOFAGASTA";"ANTOFAGASTA";"02";"02101"
"ANTOFAGASTA";"CALAMA";"02";"02201"
"ANTOFAGASTA";"MARIA ELENA";"02";"02302"
"ANTOFAGASTA";"MEJILLONES";"02";"02102"
"ANTOFAGASTA";"OLLAGUE";"02";"02202"
"ANTOFAGASTA";"SAN PEDRO DE ATACAMA";"02";"02203"
"ANTOFAGASTA";"SIERRA GORDA";"02";"02103"
"ANTOFAGASTA";"TALTAL";"02";"02104"
"ANTOFAGASTA";"TOCOPILLA";"02";"02301"
"ARICA Y PARINACOTA";"ARICA";"15";"15101"
"ARICA Y PARINACOTA";"CAMARONES";"15";"15102"
"ARICA Y PARINACOTA";"GENERAL LAGOS";"15";"15202"
"ARICA Y PARINACOTA";"PUTRE";"15";"15201"
"ATACAMA";"ALTO DEL CARMEN";"03";"03302"
"ATACAMA";"CALDERA";"03";"03102"
"ATACAMA";"CHAÑARAL";"03";"03201"
"ATACAMA";"COPIAPO";"03";"03101"
"ATACAMA";"DIEGO DE ALMAGRO";"03";"03202"
"ATACAMA";"FREIRINA";"03";"03303"
"ATACAMA";"HUASCO";"03";"03304"
"ATACAMA";"TIERRA AMARILLA";"03";"03103"
"ATACAMA";"VALLENAR";"03";"03301"
"AYSEN GENERAL CARLOS IBAÑEZ CAMPO";"AYSEN";"11";"11201"
"AYSEN GENERAL CARLOS IBAÑEZ CAMPO";"CHILE CHICO";"11";"11401"
"AYSEN GENERAL CARLOS IBAÑEZ CAMPO";"CISNES";"11";"11202"
"AYSEN GENERAL CARLOS IBAÑEZ CAMPO";"COCHRANE";"11";"11301"
"AYSEN GENERAL CARLOS IBAÑEZ CAMPO";"COYHAIQUE";"11";"11101"
"AYSEN GENERAL CARLOS IBAÑEZ CAMPO";"GUAITECAS";"11";"11203"
"AYSEN GENERAL CARLOS IBAÑEZ CAMPO";"LAGO VERDE";"11";"11102"
"AYSEN GENERAL CARLOS IBAÑEZ CAMPO";"O'HIGGINS";"11";"11302"
"AYSEN GENERAL CARLOS IBAÑEZ CAMPO";"RIO IBAÑEZ";"11";"11402"
"AYSEN GENERAL CARLOS IBAÑEZ CAMPO";"TORTEL";"11";"11303"
"COQUIMBO";"ANDACOLLO";"04";"04103"
"COQUIMBO";"CANELA";"04";"04202"
"COQUIMBO";"COMBARBALA";"04";"04302"
"COQUIMBO";"COQUIMBO";"04";"04102"
"COQUIMBO";"ILLAPEL";"04";"04201"
"COQUIMBO";"LA HIGUERA";"04";"04104"
"COQUIMBO";"LA SERENA";"04";"04101"
"COQUIMBO";"LOS VILOS";"04";"04203"
"COQUIMBO";"MONTE PATRIA";"04";"04303"
"COQUIMBO";"OVALLE";"04";"04301"
"COQUIMBO";"PAIHUANO";"04";"04105"
"COQUIMBO";"PUNITAQUI";"04";"04304"
"COQUIMBO";"RIO HURTADO";"04";"04305"
"COQUIMBO";"SALAMANCA";"04";"04204"
"COQUIMBO";"VICUÑA";"04";"04106"
"LA ARAUCANIA";"ANGOL";"09";"09201"
"LA ARAUCANIA";"CARAHUE";"09";"09102"
"LA ARAUCANIA";"CHOLCHOL";"09";"09121"
"LA ARAUCANIA";"COLLIPULLI";"09";"09202"
"LA ARAUCANIA";"CUNCO";"09";"09103"
"LA ARAUCANIA";"CURACAUTIN";"09";"09203"
"LA ARAUCANIA";"CURARREHUE";"09";"09104"
"LA ARAUCANIA";"ERCILLA";"09";"09204"
"LA ARAUCANIA";"FREIRE";"09";"09105"
"LA ARAUCANIA";"GALVARINO";"09";"09106"
"LA ARAUCANIA";"GORBEA";"09";"09107"
"LA ARAUCANIA";"LAUTARO";"09";"09108"
"LA ARAUCANIA";"LONCOCHE";"09";"09109"
"LA ARAUCANIA";"LONQUIMAY";"09";"09205"
"LA ARAUCANIA";"LOS SAUCES";"09";"09206"
"LA ARAUCANIA";"LUMACO";"09";"09207"
"LA ARAUCANIA";"MELIPEUCO";"09";"09110"
"LA ARAUCANIA";"NUEVA IMPERIAL";"09";"09111"
"LA ARAUCANIA";"PADRE LAS CASAS";"09";"09112"
"LA ARAUCANIA";"PERQUENCO";"09";"09113"
"LA ARAUCANIA";"PITRUFQUEN";"09";"09114"
"LA ARAUCANIA";"PUCON";"09";"09115"
"LA ARAUCANIA";"PUREN";"09";"09208"
"LA ARAUCANIA";"RENAICO";"09";"09209"
"LA ARAUCANIA";"SAAVEDRA";"09";"09116"
"LA ARAUCANIA";"TEMUCO";"09";"09101"
"LA ARAUCANIA";"TEODORO SCHMIDT";"09";"09117"
"LA ARAUCANIA";"TOLTEN";"09";"09118"
"LA ARAUCANIA";"TRAIGUEN";"09";"09210"
"LA ARAUCANIA";"VICTORIA";"09";"09211"
"LA ARAUCANIA";"VILCUN";"09";"09119"
"LA ARAUCANIA";"VILLARRICA";"09";"09120"
"LOS LAGOS";"ANCUD";"10";"10202"
"LOS LAGOS";"CALBUCO";"10";"10102"
"LOS LAGOS";"CASTRO";"10";"10201"
"LOS LAGOS";"CHAITEN";"10";"10401"
"LOS LAGOS";"CHONCHI";"10";"10203"
"LOS LAGOS";"COCHAMO";"10";"10103"
"LOS LAGOS";"CURACO DE VELEZ";"10";"10204"
"LOS LAGOS";"DALCAHUE";"10";"10205"
"LOS LAGOS";"FRESIA";"10";"10104"
"LOS LAGOS";"FRUTILLAR";"10";"10105"
"LOS LAGOS";"FUTALEUFU";"10";"10402"
"LOS LAGOS";"HUALAIHUE";"10";"10403"
"LOS LAGOS";"LLANQUIHUE";"10";"10107"
"LOS LAGOS";"LOS MUERMOS";"10";"10106"
"LOS LAGOS";"MAULLIN";"10";"10108"
"LOS LAGOS";"OSORNO";"10";"10301"
"LOS LAGOS";"PALENA";"10";"10404"
"LOS LAGOS";"PUERTO MONTT";"10";"10101"
"LOS LAGOS";"PUERTO OCTAY";"10";"10302"
"LOS LAGOS";"PUERTO VARAS";"10";"10109"
"LOS LAGOS";"PUQUELDON";"10";"10206"
"LOS LAGOS";"PURRANQUE";"10";"10303"
"LOS LAGOS";"PUYEHUE";"10";"10304"
"LOS LAGOS";"QUEILEN";"10";"10207"
